,City,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Avarua,100,CK,1591809884,73,-21.21,-159.78,77.0,11.41
1,Deputatsky,91,RU,1591809884,82,69.3,139.9,36.43,6.64
2,Mahébourg,75,MU,1591809884,78,-20.41,57.7,71.6,18.34
3,Saint-Philippe,20,RE,1591809884,73,-21.36,55.77,71.6,19.46
4,Ambilobe,0,MG,1591809884,74,-13.2,49.05,70.48,3.8
5,Chhor,0,PK,1591809884,46,25.52,69.77,95.56,19.53
6,Acarí,91,PE,1591809884,48,-15.43,-74.62,73.92,7.29
7,Ambon City,88,ID,1591809653,97,-3.7,128.18,80.01,8.55
8,Bektemir,0,UZ,1591809884,31,41.21,69.33,78.8,9.17
9,Rikitea,26,PF,1591809885,85,-23.12,-134.97,75.47,16.04
10,Ahipara,64,NZ,1591809885,76,-35.17,173.17,53.33,3.53
11,Punta Arenas,40,CL,1591809885,74,-53.15,-70.92,35.6,21.92
12,Kyaikkami,100,MM,1591809885,80,16.08,97.57,82.18,13.56
13,Port Macquarie,90,AU,1591809775,100,-31.43,152.92,60.8,3.36
14,Busselton,100,AU,1591809885,78,-33.65,115.33,60.01,19.13
15,Kavaratti,100,IN,1591809885,79,10.57,72.64,84.74,16.64
16,Changping,50,CN,1591809885,69,40.22,116.22,84.99,4.47
17,Elko,1,US,1591809816,26,41.0,-115.5,69.8,3.36
18,Roald,6,NO,1591809885,76,62.58,6.13,59.0,20.8
19,Karratha,49,AU,1591809885,75,-20.74,116.85,74.5,6.89
20,Flinders,91,AU,1591809885,93,-34.58,150.86,55.0,1.01
21,Methóni,40,GR,1591809885,44,36.82,21.7,78.8,6.93
22,Bredasdorp,32,ZA,1591809885,76,-34.53,20.04,53.6,18.81
23,Ushuaia,40,AR,1591809885,88,-54.8,-68.3,35.6,40.26
24,Thunder Bay,90,CA,1591809650,93,48.4,-89.32,62.6,14.99
25,East London,82,ZA,1591809885,32,-33.02,27.91,78.71,7.36
26,Cidreira,96,BR,1591809885,89,-30.18,-50.21,63.1,11.79
27,Santo Antônio do Içá,16,BR,1591809885,43,-3.1,-67.94,93.24,3.18
28,Saint Paul Harbor,1,US,1591809885,87,57.79,-152.41,48.2,3.36
29,Weston,20,US,1591809885,47,26.1,-80.4,93.99,1.01
30,Torbay,90,CA,1591809885,87,47.67,-52.73,48.99,18.34
31,Cabo San Lucas,5,MX,1591809885,78,22.89,-109.91,80.01,11.41
32,Atar,1,MR,1591809886,19,20.52,-13.05,103.51,14.18
33,Tawang Town,36,IN,1591809886,74,27.58,91.87,53.94,3.53
34,Port Keats,78,AU,1591809886,62,-14.25,129.55,72.16,6.69
35,Dikson,100,RU,1591809886,95,73.51,80.55,34.02,19.44
36,Puerto Ayora,40,EC,1591809886,61,-0.74,-90.35,80.6,14.99
37,Tessalit,36,ML,1591809886,7,20.2,1.01,110.53,8.46
38,Hilo,90,US,1591809611,88,19.73,-155.09,73.4,5.82
39,Skibbereen,75,IE,1591809886,66,51.55,-9.27,55.4,12.75
40,Arahal,37,ES,1591809886,34,37.19,-5.55,82.0,13.87
41,Pavlovsk,52,RU,1591809886,81,50.46,40.11,74.28,7.83
42,Cape Town,75,ZA,1591809696,71,-33.93,18.42,54.0,16.11
43,New Norfolk,100,AU,1591809886,87,-42.78,147.06,52.0,1.95
44,Acajutla,20,SV,1591809886,62,13.59,-89.83,86.0,3.85
45,George,20,ZA,1591809886,71,-33.96,22.46,53.6,12.75
46,Byron Bay,75,AU,1591809886,93,-28.65,153.62,62.6,5.82
47,Vaini,75,TO,1591809886,100,-21.2,-175.2,73.4,9.17
48,Codrington,97,AU,1591809886,81,-38.27,141.97,42.96,8.39
49,Hobart,90,AU,1591809830,66,-42.88,147.33,52.0,8.05
50,Touros,40,BR,1591809886,74,-5.2,-35.46,84.2,10.29
51,Lebu,99,CL,1591809886,84,-37.62,-73.65,54.66,17.11
52,Geraldton,90,AU,1591809887,64,-28.77,114.6,69.8,11.41
53,Huntingdon,100,GB,1591809887,84,52.33,-0.19,55.0,4.0
54,Nikolskoye,75,RU,1591809887,77,59.7,30.79,69.8,2.24
55,Chui,68,UY,1591809887,65,-33.7,-53.46,62.24,3.36
56,Port Hardy,90,CA,1591809887,87,50.7,-127.42,55.4,2.24
57,Bluff,99,NZ,1591809887,68,-46.6,168.33,53.01,10.0
58,Soyo,17,AO,1591809887,80,-6.13,12.37,76.33,12.06
59,San Patricio,75,MX,1591809887,74,19.22,-104.7,84.2,6.93
60,Butaritari,100,KI,1591809887,76,3.07,172.79,82.17,13.0
61,Cerro Largo,40,BR,1591809887,100,-28.15,-54.74,72.0,5.82
62,Castro,16,BR,1591809691,77,-24.79,-50.01,71.6,11.43
63,Carnarvon,0,AU,1591809887,63,-24.87,113.63,71.83,10.31
64,Kruisfontein,26,ZA,1591809887,47,-34.0,24.73,59.56,13.42
65,Klaksvík,75,FO,1591809887,62,62.23,-6.59,51.8,12.75
66,Comodoro Rivadavia,80,AR,1591809887,47,-45.87,-67.5,51.8,19.46
67,São Filipe,3,CV,1591809887,78,14.9,-24.5,77.25,9.71
68,Antalaha,55,MG,1591809887,79,-14.9,50.28,71.46,13.22
69,Tiksi,3,RU,1591809887,96,71.69,128.87,27.84,5.55
70,Salta,75,AR,1591809887,72,-24.79,-65.41,59.0,4.7
71,Tegul'det,100,RU,1591809887,96,57.31,88.17,50.38,4.47
72,Ýpsonas,0,CY,1591809887,83,34.69,32.96,73.4,14.99
73,Bengkulu,73,ID,1591809778,88,-3.8,102.27,78.24,3.62
74,Mataura,93,NZ,1591809888,68,-46.19,168.86,53.01,10.0
75,Thompson,90,CA,1591809888,81,55.74,-97.86,42.8,11.41
76,Tasiilaq,75,GL,1591809888,86,65.61,-37.64,37.4,39.15
77,Ribeira Grande,40,PT,1591809888,73,38.52,-28.7,69.8,6.93
78,Labuhan,67,ID,1591809888,83,-6.88,112.21,77.79,7.18
79,Nishihara,75,JP,1591809888,94,26.18,127.76,80.6,11.41
80,Boyolangu,98,ID,1591809888,87,-8.12,111.89,75.09,2.46
81,Ust-Kuyga,69,RU,1591809888,79,70.02,135.6,38.28,3.06
82,Hithadhoo,100,MV,1591809888,75,-0.6,73.08,84.06,13.71
83,Cyangugu,88,RW,1591809888,82,-2.48,28.91,61.38,2.35
84,Atuona,20,PF,1591809888,78,-9.8,-139.03,80.33,20.69
85,Barrow,90,US,1591809661,92,71.29,-156.79,30.2,6.93
86,Sanming,90,CN,1591809888,86,26.25,117.62,73.17,2.44
87,George Town,20,MY,1591809888,88,5.41,100.34,82.4,2.24
88,Barabash,90,RU,1591809888,100,43.2,131.48,64.4,2.24
89,Chokurdakh,9,RU,1591809888,86,70.63,147.92,34.14,10.92
90,Juba,92,SS,1591809699,79,4.85,31.58,76.53,4.03
91,Albany,88,US,1591809888,53,42.6,-73.97,81.0,1.01
92,Malanje,0,AO,1591809888,37,-9.54,16.34,70.66,2.1
93,Baikunthpur,37,IN,1591809888,36,23.25,82.55,89.35,3.15
94,Wanning,100,CN,1591809888,89,18.8,110.4,81.57,9.84
95,Princeton,20,US,1591809888,62,25.54,-80.41,91.4,9.17
96,Gemeente Wageningen,90,NL,1591809888,68,51.97,5.67,66.0,10.29
97,Alofi,93,NU,1591809715,94,-19.06,-169.92,71.6,1.12
98,Yellowknife,90,CA,1591809652,75,62.46,-114.35,46.99,12.75
99,Lompoc,0,US,1591809711,31,34.64,-120.46,86.0,2.1
100,Canmore,1,CA,1591809718,36,51.08,-115.35,62.6,11.41
101,Moranbah,10,AU,1591809889,91,-22.0,148.05,58.46,8.12
102,Dakoro,10,NE,1591809889,22,14.51,6.76,100.72,2.33
103,Hermanus,80,ZA,1591809688,84,-34.42,19.23,48.0,13.0
104,Izhma,100,RU,1591809889,90,65.01,53.91,61.45,5.59
105,Faanui,26,PF,1591809889,83,-16.48,-151.75,79.81,20.62
106,Souillac,75,MU,1591809889,78,-20.52,57.52,71.6,18.34
107,Alice Springs,42,AU,1591809889,56,-23.7,133.88,52.0,3.36
108,Lüderitz,45,NA,1591809889,93,-26.65,15.16,57.2,6.93
109,Qaanaaq,5,GL,1591809889,78,77.48,-69.36,36.32,2.44
110,Bethel,20,US,1591809889,61,41.37,-73.41,82.99,10.29
111,Vila Velha,0,BR,1591809867,52,-20.33,-40.29,87.8,11.41
112,Esperance,98,AU,1591809889,41,-33.87,121.9,60.8,14.99
113,Camacha,20,PT,1591809889,64,33.08,-16.33,68.0,13.87
114,Qax,75,AZ,1591809889,44,41.42,46.92,80.6,6.93
115,Along,2,IN,1591809889,86,28.17,94.77,73.31,1.77
116,Taoudenni,9,ML,1591809664,12,22.68,-3.98,108.64,12.3
117,Onega,98,RU,1591809890,85,63.91,38.14,53.47,10.69
118,Atasū,33,KZ,1591809890,41,48.68,71.64,65.97,8.25
119,Páchni,20,GR,1591809890,65,41.3,24.9,78.8,4.7
120,Chara,58,RU,1591809890,82,56.91,118.26,41.76,1.28
121,Griffith,1,US,1591809890,74,41.53,-87.42,84.0,18.52
122,Manavālakurichi,75,IN,1591809890,83,8.13,77.3,82.4,8.05
123,Alice,40,US,1591809890,35,27.75,-98.07,89.6,21.92
124,Luknovo,49,RU,1591809890,74,56.2,42.04,68.68,1.99
125,Paka,93,MY,1591809890,94,4.64,103.44,75.2,4.7
126,Cabedelo,75,BR,1591809890,88,-6.98,-34.83,78.8,10.29
127,Norman Wells,75,CA,1591809890,66,65.28,-126.83,55.4,14.99
128,Wamba,83,NG,1591809890,62,8.93,8.6,84.49,5.23
129,Nanortalik,100,GL,1591809890,88,60.14,-45.24,40.08,15.75
